REGION,ISLAND,SEC_NAME,REEF_ZONE,DEPTH_BIN,AREA_HA,NH,RAMP_BASIC,MARI2011,MARI2014,TUT10_12,AS_SANCTUARY,REP_CARD,A_BENTHIC_REP_CARD,BENTHIC_SEC_CODE,GEN_MHI_STRUCTURE,PROTECTION_DS,NOTES
MARIAN,Aguijan,Aguijan,Forereef,Deep,119.2887963,477,Aguijan,Aguijan,Aguijan,Aguijan,Aguijan,SaTiAg,AGU,AGU,,OPEN,
MARIAN,Aguijan,Aguijan,Forereef,Mid,129.0007981,516,Aguijan,Aguijan,Aguijan,Aguijan,Aguijan,SaTiAg,AGU,AGU,,OPEN,
MARIAN,Aguijan,Aguijan,Forereef,Shallow,157.3007294,629,Aguijan,Aguijan,Aguijan,Aguijan,Aguijan,SaTiAg,AGU,AGU,,OPEN,
MARIAN,Alamagan,Alamagan,Forereef,Deep,112.8532954,451,Alamagan,Alamagan,Alamagan,Alamagan,Alamagan,CNMI_UNPOP,ALA,ALA,,OPEN,
MARIAN,Alamagan,Alamagan,Forereef,Mid,162.4144779,650,Alamagan,Alamagan,Alamagan,Alamagan,Alamagan,CNMI_UNPOP,ALA,ALA,,OPEN,
MARIAN,Alamagan,Alamagan,Forereef,Shallow,71.071876,284,Alamagan,Alamagan,Alamagan,Alamagan,Alamagan,CNMI_UNPOP,ALA,ALA,,OPEN,
MARIAN,Anatahan,Anatahan,Forereef,Deep,393.9252048,NA,Anatahan,Anatahan,Anatahan,Anatahan,Anatahan,NOT,Ana,Ana,NA,NA,"Assume average size island, assume dms each 1/3"
MARIAN,Anatahan,Anatahan,Forereef,Mid,393.9252048,NA,Anatahan,Anatahan,Anatahan,Anatahan,Anatahan,NOT,Ana,Ana,NA,NA,"Assume average size island, assume dms each 1/3"
MARIAN,Anatahan,Anatahan,Forereef,Shallow,393.9252048,NA,Anatahan,Anatahan,Anatahan,Anatahan,Anatahan,NOT,Ana,Ana,NA,NA,"Assume average size island, assume dms each 1/3"
MARIAN,Arakane,Arakane,Forereef,Deep,24.5959461,NA,Arakane,Arakane,Arakane,Arakane,Arakane,NOT,Arakane,Arakane,NA,NA,
MARIAN,Arakane,Arakane,Forereef,Mid,23.2565184,NA,Arakane,Arakane,Arakane,Arakane,Arakane,NOT,Arakane,Arakane,NA,NA,
MARIAN,Asuncion,Asuncion,Forereef,Deep,64.03633046,256,Asuncion,Asuncion,Asuncion,Asuncion,Asuncion,MTMNM,ASC,ASC,,MTMM,
MARIAN,Asuncion,Asuncion,Forereef,Mid,130.7967187,523,Asuncion,Asuncion,Asuncion,Asuncion,Asuncion,MTMNM,ASC,ASC,,MTMM,
MARIAN,Asuncion,Asuncion,Forereef,Shallow,53.77229254,215,Asuncion,Asuncion,Asuncion,Asuncion,Asuncion,MTMNM,ASC,ASC,,MTMM,
MARIAN,Farallon de Medenilla,Farallon de Medenilla,Forereef,Deep,78.47331358,NA,Farallon de Medenilla,Farallon de Medenilla,Farallon de Medenilla,Farallon de Medenilla,Farallon de Medenilla,NOT,Farallon de Medenilla,Farallon de Medenilla,NA,NA,
MARIAN,Farallon de Medenilla,Farallon de Medenilla,Forereef,Mid,52.80542635,NA,Farallon de Medenilla,Farallon de Medenilla,Farallon de Medenilla,Farallon de Medenilla,Farallon de Medenilla,NOT,Farallon de Medenilla,Farallon de Medenilla,NA,NA,
MARIAN,Farallon de Medenilla,Farallon de Medenilla,Forereef,Shallow,20.23990304,NA,Farallon de Medenilla,Farallon de Medenilla,Farallon de Medenilla,Farallon de Medenilla,Farallon de Medenilla,NOT,Farallon de Medenilla,Farallon de Medenilla,NA,NA,
MARIAN,Farallon de Pajaros,Farallon de Pajaros,Forereef,Deep,36.860822,147,Farallon de Pajaros,Farallon de Pajaros,Farallon de Pajaros,Farallon de Pajaros,Farallon de Pajaros,MTMNM,FDP,FDP,,MTMM,
MARIAN,Farallon de Pajaros,Farallon de Pajaros,Forereef,Mid,68.68271,275,Farallon de Pajaros,Farallon de Pajaros,Farallon de Pajaros,Farallon de Pajaros,Farallon de Pajaros,MTMNM,FDP,FDP,,MTMM,
MARIAN,Farallon de Pajaros,Farallon de Pajaros,Forereef,Shallow,32.916547,132,Farallon de Pajaros,Farallon de Pajaros,Farallon de Pajaros,Farallon de Pajaros,Farallon de Pajaros,MTMNM,FDP,FDP,,MTMM,
MARIAN,Galvez,Galvez,Forereef,Deep,15.29549096,NA,Galvez,Galvez,Galvez,Galvez,Galvez,NOT,Galvez,Galvez,NA,NA,
MARIAN,Guam,ACHANG_MPA,Forereef,Deep,13.75,55,GUAM_MP,ACHANG_MPA,ACHANG_MPA,GUAM_MP,GUAM_MP,GUAM_MP,GUA_EAST,GUA_EAST,,ACHG,
MARIAN,Guam,ACHANG_MPA,Forereef,Mid,59.25,237,GUAM_MP,ACHANG_MPA,ACHANG_MPA,GUAM_MP,GUAM_MP,GUAM_MP,GUA_EAST,GUA_EAST,,ACHG,
MARIAN,Guam,ACHANG_MPA,Forereef,Shallow,33.25,133,GUAM_MP,ACHANG_MPA,ACHANG_MPA,GUAM_MP,GUAM_MP,GUAM_MP,GUA_EAST,GUA_EAST,,ACHG,
MARIAN,Guam,GUA_EAST_OPEN,Forereef,Deep,664.5,2658,GUAM_EAST_OPEN,GUAM_EAST_OPEN,GUAM_EAST_OPEN,GUAM_EAST_OPEN,GUAM_EAST_OPEN,GUAM_EAST_OPEN,GUA_EAST,GUA_EAST,,OPEN,
MARIAN,Guam,GUA_EAST_OPEN,Forereef,Mid,1027.25,4109,GUAM_EAST_OPEN,GUAM_EAST_OPEN,GUAM_EAST_OPEN,GUAM_EAST_OPEN,GUAM_EAST_OPEN,GUAM_EAST_OPEN,GUA_EAST,GUA_EAST,,OPEN,
MARIAN,Guam,GUA_EAST_OPEN,Forereef,Shallow,421.5,1686,GUAM_EAST_OPEN,GUAM_EAST_OPEN,GUAM_EAST_OPEN,GUAM_EAST_OPEN,GUAM_EAST_OPEN,GUAM_EAST_OPEN,GUA_EAST,GUA_EAST,,OPEN,
MARIAN,Guam,GUA_HARBOR,Forereef,Deep,3.81,15,GUAM_HARBOR,GUAM_HARBOR,GUAM_HARBOR,GUAM_HARBOR,GUAM_HARBOR,NOT,GUA_WEST,GUA_HAR_WEST,,OPEN,
MARIAN,Guam,GUA_HARBOR,Forereef,Mid,38.29,153,GUAM_HARBOR,GUAM_HARBOR,GUAM_HARBOR,GUAM_HARBOR,GUAM_HARBOR,NOT,GUA_WEST,GUA_HAR_WEST,,OPEN,
MARIAN,Guam,GUA_HARBOR,Forereef,Shallow,95.17,381,GUAM_HARBOR,GUAM_HARBOR,GUAM_HARBOR,GUAM_HARBOR,GUAM_HARBOR,NOT,GUA_WEST,GUA_HAR_WEST,,OPEN,
MARIAN,Guam,GUA_WEST_OPEN,Forereef,Deep,438.75,1755,GUAM_WEST_OPEN,GUAM_WEST_OPEN,GUAM_WEST_OPEN,GUAM_WEST_OPEN,GUAM_WEST_OPEN,GUAM_WEST_OPEN,GUA_WEST,GUA_WEST,,OPEN,
MARIAN,Guam,GUA_WEST_OPEN,Forereef,Mid,1035,4140,GUAM_WEST_OPEN,GUAM_WEST_OPEN,GUAM_WEST_OPEN,GUAM_WEST_OPEN,GUAM_WEST_OPEN,GUAM_WEST_OPEN,GUA_WEST,GUA_WEST,,OPEN,
MARIAN,Guam,GUA_WEST_OPEN,Forereef,Shallow,756.5,3026,GUAM_WEST_OPEN,GUAM_WEST_OPEN,GUAM_WEST_OPEN,GUAM_WEST_OPEN,GUAM_WEST_OPEN,GUAM_WEST_OPEN,GUA_WEST,GUA_WEST,,OPEN,
MARIAN,Guam,GUA_PATI_PT,Forereef,Deep,155.25,621,GUAM_MP,PATI_PT_MPA,GUAM_MP_MINUS_ACHANG,GUAM_MP,GUAM_MP,GUAM_MP,GUA_EAST,GUA_EAST,,PATI,
MARIAN,Guam,GUA_PATI_PT,Forereef,Mid,159,636,GUAM_MP,PATI_PT_MPA,GUAM_MP_MINUS_ACHANG,GUAM_MP,GUAM_MP,GUAM_MP,GUA_EAST,GUA_EAST,,PATI,
MARIAN,Guam,GUA_PATI_PT,Forereef,Shallow,36.25,145,GUAM_MP,PATI_PT_MPA,GUAM_MP_MINUS_ACHANG,GUAM_MP,GUAM_MP,GUAM_MP,GUA_EAST,GUA_EAST,,PATI,
