SEC_NAME,ISLAND,REGION,REEF_ZONE,DEPTH_BIN,AREA_HA,UNCERTAIN_SIZE,RAMP_BASIC,MARI2011,MARI2014,TUT10_12,AS_SANCTUARY,REP_CARD,NOTES
MAI_KIHEI,Maui,MHI,Forereef,Mid,682.5282166,N,MAI_KIHEI,MAI_KIHEI,MAI_KIHEI,MAI_KIHEI,MAI_KIHEI,Maui-nui,
MAI_KIHEI,Maui,MHI,Forereef,Shallow,650.0680159,N,MAI_KIHEI,MAI_KIHEI,MAI_KIHEI,MAI_KIHEI,MAI_KIHEI,Maui-nui,
MAI_LAHAINA,Maui,MHI,Forereef,Deep,287.1615845,N,MAI_LAHAINA,MAI_LAHAINA,MAI_LAHAINA,MAI_LAHAINA,MAI_LAHAINA,Maui-nui,
MAI_LAHAINA,Maui,MHI,Forereef,Mid,483.9295632,N,MAI_LAHAINA,MAI_LAHAINA,MAI_LAHAINA,MAI_LAHAINA,MAI_LAHAINA,Maui-nui,
MAI_LAHAINA,Maui,MHI,Forereef,Shallow,439.3470347,N,MAI_LAHAINA,MAI_LAHAINA,MAI_LAHAINA,MAI_LAHAINA,MAI_LAHAINA,Maui-nui,
MAI_NE,Maui,MHI,Forereef,Deep,883.3579854,N,MAI_NE,MAI_NE,MAI_NE,MAI_NE,MAI_NE,Maui-nui,
MAI_NE,Maui,MHI,Forereef,Mid,926.711758,N,MAI_NE,MAI_NE,MAI_NE,MAI_NE,MAI_NE,Maui-nui,
MAI_NE,Maui,MHI,Forereef,Shallow,481.2408332,N,MAI_NE,MAI_NE,MAI_NE,MAI_NE,MAI_NE,Maui-nui,
MAI_NW,Maui,MHI,Forereef,Deep,315.7175228,N,MAI_NW,MAI_NW,MAI_NW,MAI_NW,MAI_NW,Maui-nui,
MAI_NW,Maui,MHI,Forereef,Mid,287.74445,N,MAI_NW,MAI_NW,MAI_NW,MAI_NW,MAI_NW,Maui-nui,
MAI_NW,Maui,MHI,Forereef,Shallow,176.1167662,N,MAI_NW,MAI_NW,MAI_NW,MAI_NW,MAI_NW,Maui-nui,
MAI_SE,Maui,MHI,Forereef,Deep,788.37286,N,MAI_SE,MAI_SE,MAI_SE,MAI_SE,MAI_SE,Maui-nui,
MAI_SE,Maui,MHI,Forereef,Mid,690.2023226,N,MAI_SE,MAI_SE,MAI_SE,MAI_SE,MAI_SE,Maui-nui,
MAI_SE,Maui,MHI,Forereef,Shallow,405.0121276,N,MAI_SE,MAI_SE,MAI_SE,MAI_SE,MAI_SE,Maui-nui,
MAI_HANA,Maui,MHI,Forereef,Deep,225.5929875,N,MAI_HANA,MAI_HANA,MAI_HANA,MAI_HANA,MAI_HANA,Maui-nui,
MAI_HANA,Maui,MHI,Forereef,Mid,258.3916816,N,MAI_HANA,MAI_HANA,MAI_HANA,MAI_HANA,MAI_HANA,Maui-nui,
MAI_HANA,Maui,MHI,Forereef,Shallow,190.0864145,N,MAI_HANA,MAI_HANA,MAI_HANA,MAI_HANA,MAI_HANA,Maui-nui,
MAI_MOLOKINI,Maui,MHI,Forereef,Deep,6.25,Y,MAI_MOLOKINI,MAI_MOLOKINI,MAI_MOLOKINI,MAI_MOLOKINI,MAI_MOLOKINI,Maui-nui,"Assume is 25ha, assume 50% is mid, split rest equally"
MAI_MOLOKINI,Maui,MHI,Forereef,Mid,12.5,Y,MAI_MOLOKINI,MAI_MOLOKINI,MAI_MOLOKINI,MAI_MOLOKINI,MAI_MOLOKINI,Maui-nui,"Assume is 25ha, assume 50% is mid, split rest equally"
MAI_MOLOKINI,Maui,MHI,Forereef,Shallow,6.25,Y,MAI_MOLOKINI,MAI_MOLOKINI,MAI_MOLOKINI,MAI_MOLOKINI,MAI_MOLOKINI,Maui-nui,"Assume is 25ha, assume 50% is mid, split rest equally"
MOL_PALI,Molokai,MHI,Forereef,Deep,634.0842128,N,MOL_PALI,MOL_PALI,MOL_PALI,MOL_PALI,MOL_PALI,Maui-nui,
MOL_PALI,Molokai,MHI,Forereef,Mid,467.9624676,N,MOL_PALI,MOL_PALI,MOL_PALI,MOL_PALI,MOL_PALI,Maui-nui,
MOL_PALI,Molokai,MHI,Forereef,Shallow,516.2585992,N,MOL_PALI,MOL_PALI,MOL_PALI,MOL_PALI,MOL_PALI,Maui-nui,
MOL_NW,Molokai,MHI,Forereef,Deep,733.1293957,N,MOL_NW,MOL_NW,MOL_NW,MOL_NW,MOL_NW,Maui-nui,
MOL_NW,Molokai,MHI,Forereef,Mid,601.1779629,N,MOL_NW,MOL_NW,MOL_NW,MOL_NW,MOL_NW,Maui-nui,
MOL_NW,Molokai,MHI,Forereef,Shallow,501.1542337,N,MOL_NW,MOL_NW,MOL_NW,MOL_NW,MOL_NW,Maui-nui,
MOL_WEST,Molokai,MHI,Forereef,Deep,1384.213479,N,MOL_WEST,MOL_WEST,MOL_WEST,MOL_WEST,MOL_WEST,Maui-nui,
MOL_WEST,Molokai,MHI,Forereef,Mid,1250.749123,N,MOL_WEST,MOL_WEST,MOL_WEST,MOL_WEST,MOL_WEST,Maui-nui,
MOL_WEST,Molokai,MHI,Forereef,Shallow,512.2388267,N,MOL_WEST,MOL_WEST,MOL_WEST,MOL_WEST,MOL_WEST,Maui-nui,
MOL_SOUTH,Molokai,MHI,Forereef,Deep,603.9775235,N,MOL_SOUTH,MOL_SOUTH,MOL_SOUTH,MOL_SOUTH,MOL_SOUTH,Maui-nui,
MOL_SOUTH,Molokai,MHI,Forereef,Mid,1293.344283,N,MOL_SOUTH,MOL_SOUTH,MOL_SOUTH,MOL_SOUTH,MOL_SOUTH,Maui-nui,
MOL_SOUTH,Molokai,MHI,Forereef,Shallow,4232.003508,N,MOL_SOUTH,MOL_SOUTH,MOL_SOUTH,MOL_SOUTH,MOL_SOUTH,Maui-nui,
NII_LEHUA,Niihau,MHI,Forereef,Deep,263,N,NII_LEHUA,NII_LEHUA,NII_LEHUA,NII_LEHUA,NII_LEHUA,Kaa-Nii,
NII_LEHUA,Niihau,MHI,Forereef,Mid,487.75,N,NII_LEHUA,NII_LEHUA,NII_LEHUA,NII_LEHUA,NII_LEHUA,Kaa-Nii,
NII_LEHUA,Niihau,MHI,Forereef,Shallow,354.75,N,NII_LEHUA,NII_LEHUA,NII_LEHUA,NII_LEHUA,NII_LEHUA,Kaa-Nii,
NII_EAST,Niihau,MHI,Forereef,Deep,1027.496786,N,NII_EAST,NII_EAST,NII_EAST,NII_EAST,NII_EAST,Kaa-Nii,
NII_EAST,Niihau,MHI,Forereef,Mid,1137.990268,N,NII_EAST,NII_EAST,NII_EAST,NII_EAST,NII_EAST,Kaa-Nii,
NII_EAST,Niihau,MHI,Forereef,Shallow,613.9646175,N,NII_EAST,NII_EAST,NII_EAST,NII_EAST,NII_EAST,Kaa-Nii,
NII_WEST,Niihau,MHI,Forereef,Deep,1468.465202,N,NII_WEST,NII_WEST,NII_WEST,NII_WEST,NII_WEST,Kaa-Nii,
NII_WEST,Niihau,MHI,Forereef,Mid,2992.988492,N,NII_WEST,NII_WEST,NII_WEST,NII_WEST,NII_WEST,Kaa-Nii,
NII_WEST,Niihau,MHI,Forereef,Shallow,919.395945,N,NII_WEST,NII_WEST,NII_WEST,NII_WEST,NII_WEST,Kaa-Nii,
OAH_SOUTH,Oahu,MHI,Forereef,Deep,1457.29677,N,OAH_SOUTH,OAH_SOUTH,OAH_SOUTH,OAH_SOUTH,OAH_SOUTH,Oahu,
OAH_SOUTH,Oahu,MHI,Forereef,Mid,3926.206706,N,OAH_SOUTH,OAH_SOUTH,OAH_SOUTH,OAH_SOUTH,OAH_SOUTH,Oahu,
OAH_SOUTH,Oahu,MHI,Forereef,Shallow,3658.205214,N,OAH_SOUTH,OAH_SOUTH,OAH_SOUTH,OAH_SOUTH,OAH_SOUTH,Oahu,
OAH_EAST,Oahu,MHI,Forereef,Deep,978.9371021,N,OAH_EAST,OAH_EAST,OAH_EAST,OAH_EAST,OAH_EAST,Oahu,
